airport,countryCode,lat,lng
ALV,AD,42.5,1.516667
LWN,AM,40.716667,43.833333
EVN,AM,40.15272,44.39805
LNZ,AT,48.239868,14.193345
HOH,AT,47.383333,9.7
KLU,AT,46.650122,14.324192
VDD,AT,48.2,16.366667
SZG,AT,47.791226,12.997331
VIE,AT,48.11972,16.563583
ANT,AT,47.119631,10.24061
GRZ,AT,46.996157,15.443228
INN,AT,47.25745,11.351467
QLX,AT,47.483333,9.733333
GNA,BY,53.605799,24.053906
GME,BY,52.526073,31.017895
MHP,BY,53.864473,27.539686
MVQ,BY,53.957457,30.096425
VTB,BY,55.13008,30.35506
MSQ,BY,53.889725,28.032442
BQT,BY,52.110065,23.898222
ZYR,BE,50.836945,4.335556
GNE,BE,51.05,3.716667
ANR,BE,51.18916,4.450672
MWW,BE,50.733333,3.2
CRL,BE,50.459206,4.45382
KJK,BE,50.817222,3.201667
OBL,BE,51.266667,4.75
OST,BE,51.199722,2.863611
LGG,BE,50.643334,5.460149
BRU,BE,50.89717,4.483602
TZL,BA,44.409722,18.709167
SJJ,BA,43.824601,18.331541
BNX,BA,44.933333,17.3
OMO,BA,43.285556,17.846667
PDV,BG,42.3,24.716667
JAM,BG,42.516667,26.483333
TGV,BG,42.416667,24.5
BOJ,BG,42.56745,27.515544
SZR,BG,42.433333,25.616667
PVN,BG,43.416667,24.616667
HKV,BG,41.933333,25.55
SLS,BG,44.055199,27.178801
SOF,BG,42.688342,23.414431
VID,BG,43.983333,22.816667
ROU,BG,43.683333,26.05
GOZ,BG,43.116667,25.666667
VAR,BG,43.237258,27.829096
GVA,CH,46.229634,6.105774
BRN,CH,46.911728,7.50356
EML,CH,47.0925,8.304722
MLH,CH,47.599324,7.532864
BXO,CH,46.966667,8.383333
ZRH,CH,47.450604,8.561746
ACO,CH,46.159444,8.783056
SIR,CH,46.21725,7.322294
LUG,CH,46.002393,8.909827
SMV,CH,46.534722,9.885556
ACH,CH,47.483333,9.566667
PFO,CY,34.711552,32.489104
GEC,CY,35.23353,33.733299
AKT,CY,34.590395,32.987887
EPK,CY,34.666667,32.9
LCA,CY,34.870871,33.607975
NIC,CY,35.151111,33.272222
ECN,CY,35.158118,33.50307
GTW,CZ,49.2,17.516667
KLV,CZ,50.2,12.916667
PED,CZ,50.013333,15.738611
BRQ,CZ,49.15,16.7
UHE,CZ,49.029364,17.439825
PRG,CZ,50.106188,14.266638
MKA,CZ,49.983333,12.716667
OLO,CZ,49.633333,17.2
PRV,CZ,49.590278,17.208333
ZBE,CZ,49.883333,16.866667
ZDN,CZ,49.2,16.61
OSR,CZ,49.695517,18.121285
BBJ,DE,49.944064,6.560565
KLT,DE,49.433333,7.75
MUC,DE,48.353005,11.790143
AGB,DE,48.425278,10.931667
LEJ,DE,51.420262,12.221202
REB,DE,53.35,12.716667
KOQ,DE,51.716667,11.95
RMS,DE,49.441015,7.589789
NUE,DE,49.494168,11.077062
EME,DE,53.389291,7.227536
FRZ,DE,51.114276,9.286667
HDF,DE,53.878251,14.138242
DRS,DE,51.124333,13.766082
NOE,DE,53.5,7.166667
LGO,DE,53.766667,7.533333
IES,DE,51.3,13.283333
ZQW,DE,49.215161,7.399708
HGL,DE,54.186944,7.916667
ILH,DE,49.4739,10.3881
SGE,DE,50.85,8
KSF,DE,51.40568,9.376578
FEL,DE,48.2,11.266667
STR,DE,48.690732,9.193624
FNB,DE,53.602778,13.307222
XLW,DE,53.166667,8.6
BER,DE,52.366667,13.503333
PSH,DE,54.5,8.116667
GKE,DE,50.960694,6.042508
GWW,DE,52,13
TXL,DE,52.553944,13.291722
FDH,DE,47.672775,9.523482
PHM,DE,48.683333,9
BBH,DE,54.339722,12.711667
GMY,DE,51.166667,6.366667
RLG,DE,53.92,12.266667
GUT,DE,51.9,8.383333
ERF,DE,50.974914,10.961163
LBC,DE,53.805273,10.701162
NRD,DE,53.833333,7.166667
ZWN,DE,53,11.75
FKB,DE,48.781031,8.089752
FRF,DE,50.1,8.683333
FMM,DE,47.988611,10.239444
QSM,DE,53.648084,9.70936
BMK,DE,53.6,6.7
MHJ,DE,49.47972,8.46972
FCN,DE,53.768526,8.665585
OBF,DE,48.083333,11.283333
OHR,DE,54.685833,8.529167
QOX,DE,48.038333,10.295
DTM,DE,51.514826,7.613139
LHA,DE,48.369304,7.827674
CBU,DE,51.770278,14.299167
EUM,DE,54.066667,9.966667
FLF,DE,54.772222,9.383333
BMR,DE,53.716667,7.4
AGE,DE,53.783333,7.916667
PAD,DE,51.610332,8.619832
WBG,DE,54.45,9.516667
CSO,DE,51.857761,11.426726
GWT,DE,54.915278,8.343056
UPF,DE,48.866667,8.683333
AAH,DE,50.75,6.133333
KEL,DE,54.380833,10.143333
IGS,DE,48.722247,11.537143
NRN,DE,51.599286,6.150168
MHG,DE,49.476577,8.521081
FRA,DE,50.048952,8.573678
PEF,DE,54.166667,13.766667
WID,DE,49.5,9.5
NDZ,DE,53.768611,8.644722
NOD,DE,53.583333,7.2
HEI,DE,54.155556,8.902778
BRE,DE,53.052971,8.785352
CGN,DE,50.878363,7.122224
EIB,DE,50.991608,10.47976
WVN,DE,53.502219,8.05223
SPM,DE,49.973876,6.694407
BWE,DE,52.318095,10.557137
GHF,DE,49.65,9.966667
BRV,DE,53.503156,8.572528
JUI,DE,53.683333,7.066667
VAC,DE,52.916667,8.05
HAM,DE,53.631279,10.006414
URD,DE,49.8,11.133333
AOC,DE,50.981945,12.506389
SZW,DE,53.430391,11.78091
SEX,DE,49.5,7.866667
HAJ,DE,52.459254,9.694766
QPK,DE,52.582638,13.915935
HDB,DE,49.393346,8.651943
BFE,DE,52.016667,8.55
SXF,DE,52.370278,13.521388
BYU,DE,49.985556,11.64
GTI,DE,54.384003,13.325393
RBM,DE,48.901636,12.515756
DUS,DE,51.278327,6.76558
QGV,DE,50.05,8.683333
WIE,DE,50.04957,8.324533
FMO,DE,52.130053,7.694928
SCN,DE,49.220088,7.112705
HOQ,DE,50.289167,11.862222
KZG,DE,49.733333,10.15
HHN,DE,49.948333,7.264167
MGL,DE,51.22972,6.51097
ESS,DE,51.403889,6.941667
THF,DE,52.474722,13.403333
XFW,DE,53.535278,9.835556
AAR,DK,56.30823,10.626351
STA,DK,55.990278,8.355
SQW,DK,56.566667,9.033333
BLL,DK,55.747382,9.147874
ODE,DK,55.47356,10.328814
TED,DK,57.072222,8.703333
AAL,DK,57.086551,9.872241
KRP,DK,56.3,9.116667
SGD,DK,54.964444,9.791731
VEJ,DK,55.7,9.533333
BYR,DK,57.277563,11.005083
CPH,DK,55.629053,12.647601
SKS,DK,55.221944,9.264722
CNL,DK,57.483333,10.216667
RNN,DK,55.063645,14.758274
EBJ,DK,55.521431,8.549062
MRW,DK,54.685833,11.435
RKE,DK,55.589721,12.128183
TAY,EE,58.30969,26.690904
KDL,EE,58.994917,22.824971
URE,EE,58.229938,22.509542
TLL,EE,59.416622,24.798703
EPU,EE,58.418889,24.472778
CHE,EE,59.447989,24.753279
QUF,EE,59.469213,24.822022
LEU,ES,42.341306,1.409573
UER,ES,38.7,-4.116667
UTL,ES,36.622574,-4.498993
PNA,ES,42.767497,-1.639347
TFN,ES,28.488057,-16.345982
BCN,ES,41.303027,2.07593
ALC,ES,38.287098,-0.557381
OVD,ES,43.55891,-6.032094
TFS,ES,28.044444,-16.5725
RRA,ES,36.75,-5.166667
VGO,ES,42.224551,-8.634025
HSK,ES,42.080927,-0.323469
SLM,ES,40.951944,-5.501944
SEJ,ES,40.97167,-5.648333
MLN,ES,35.277078,-2.957473
OZU,ES,37.6,-4.633333
LPA,ES,27.932398,-15.384626
AMR,ES,36.834446,-2.456111
FGR,ES,36.533333,-4.633333
CJI,ES,38.983333,-3.916667
ROZ,ES,36.645252,-6.350709
AEI,ES,36.128898,-5.441301
GEN,ES,37.383333,-4.766667
VIT,ES,42.833333,-2.5
MAH,ES,39.86503,4.224099
VDE,ES,27.813968,-17.884937
SPO,ES,37.383333,-5.75
SCQ,ES,42.896308,-8.415125
SDR,ES,43.423086,-3.824453
OZI,ES,37.6625,-24.9
OZP,ES,37.169797,-5.611906
ILD,ES,41.726926,0.539164
TOJ,ES,40.455556,-3.546667
XRY,ES,36.750614,-6.064535
GRX,ES,37.184728,-3.776954
SVQ,ES,37.423476,-5.900136
LEN,ES,42.590569,-5.64629
JCU,ES,35.892569,-5.30621
ACE,ES,28.950668,-13.609059
CDZ,ES,36.533333,-6.3
FES,ES,36.466667,-6.183333
ODB,ES,37.841111,-4.847222
LCG,ES,43.30236,-8.381923
BIO,ES,43.305535,-2.905808
RGS,ES,42.357451,-3.613573
VLC,ES,39.491792,-0.473475
PMI,ES,39.547654,2.730388
MAD,ES,40.49027,-3.564479
REU,ES,41.146102,1.153319
SPC,ES,28.626389,-17.755556
CQM,ES,38.858684,-3.974536
EAS,ES,43.356401,-1.793538
FUE,ES,28.450605,-13.869893
CDT,ES,40.213889,0.073333
HEV,ES,37.266667,-6.95
LUY,ES,43.015,-7.551944
IBZ,ES,38.876595,1.367803
ABC,ES,38.948333,-1.863333
LEI,ES,36.847984,-2.371873
ZAZ,ES,41.663862,-1.007466
RJL,ES,42.456944,-2.323611
GMZ,ES,28.016667,-17.2
RMU,ES,37.803,-1.125
NDO,ES,37.383333,-6.583333
GRO,ES,41.898041,2.766383
AGP,ES,36.675181,-4.489616
BJZ,ES,38.893312,-6.819564
PXS,ES,36.6,-6.216667
VLL,ES,41.70581,-4.844626
MJV,ES,37.775213,-0.81904
FAE,FO,62.066667,-7.266667
ENF,FI,68.360381,23.421202
TKU,FI,60.512348,22.272771
KHJ,FI,62.463056,22.394722
KAJ,FI,64.277778,27.688889
LPP,FI,61.044114,28.155163
KAU,FI,63.1,23.083333
IVL,FI,68.611111,27.415556
KUO,FI,63.008908,27.788696
KTT,FI,67.695949,24.859027
JYV,FI,62.403623,25.681431
HEM,FI,60.25,25.05
SVL,FI,61.944186,28.932545
VRK,FI,62.172505,27.861281
TMP,FI,61.420449,23.617564
SJY,FI,62.692567,22.826712
POR,FI,61.46866,21.791381
YLI,FI,64.054444,24.728889
UTI,FI,60.9,26.933333
KTQ,FI,62.165833,30.076667
KEV,FI,61.583333,24.75
KAO,FI,65.990278,29.233889
HEL,FI,60.317953,24.966449
SOT,FI,67.383333,26.616667
KEM,FI,65.780057,24.57677
RVN,FI,66.559047,25.829609
HYV,FI,60.654167,24.884444
KOK,FI,63.718838,23.133069
VAA,FI,63.043549,21.760123
JOE,FI,62.656788,29.61354
MIK,FI,61.683889,27.213056
OUL,FI,64.93012,25.375425
EDM,FR,46.7,-1.383333
CLY,FR,42.527778,8.791667
SXD,FR,43.616667,7.05
ETZ,FR,48.981653,6.243003
BOR,FR,47.655556,7.011667
LBI,FR,43.933333,2.15
CSF,FR,49.25,2.483333
CNG,FR,45.683333,-0.333333
LYS,FR,45.721426,5.080334
POX,FR,49.096717,2.040864
ZAO,FR,44.45,1.45
AUR,FR,44.8975,2.418056
BIQ,FR,43.466478,-1.521784
DIJ,FR,47.270833,5.088889
CQF,FR,50.95,1.933333
GNB,FR,45.359832,5.332019
EVX,FR,49.016667,1.15
HZB,FR,50.616667,2.65
MRS,FR,43.44178,5.222137
JAH,FR,43.283333,5.6
CDG,FR,49.003196,2.567023
LEH,FR,49.53391,0.088063
LTQ,FR,50.514775,1.627071
LME,FR,48,1.25
PUF,FR,43.382348,-0.413573
BIA,FR,42.547616,9.480124
CFR,FR,49.183437,-0.459276
BOD,FR,44.83102,-0.70217
NIT,FR,46.316667,-0.45
EPL,FR,48.325833,6.069444
LSO,FR,46.5,-1.783333
LPY,FR,45.083333,3.766667
XEX,FR,48.833333,2.65
VHY,FR,46.165556,3.409722
SEC,FR,44.916667,6.5
VIY,FR,48.774167,2.191667
BYF,FR,49.970389,2.699448
CTT,FR,43.25,5.783333
MVV,FR,45.816667,6.65
ORE,FR,47.916667,1.9
IDY,FR,46.717867,-2.388694
LIL,FR,50.572047,3.106067
TGF,FR,45.483333,6.9
VNE,FR,47.65,-2.766667
XPZ,FR,43.283333,6.633333
DLP,FR,48.866667,2.8
RNS,FR,48.068064,-1.726249
CMF,FR,45.637994,5.88437
MXN,FR,48.6,-3.816667
BZR,FR,43.321186,3.353485
OBS,FR,44.666667,4.7
SYT,FR,46.4,4.033333
XYT,FR,43.566667,1.483333
PGF,FR,42.741018,2.868183
AHZ,FR,45.083333,6.083333
ANG,FR,45.727359,0.218923
LBY,FR,47.288136,-2.346783
JPU,FR,48.866667,2.333333
GAT,FR,44.55,6.083333
TUF,FR,47.432237,0.726584
TLN,FR,43.093489,6.159303
ANE,FR,47.560351,-0.312245
LYN,FR,45.730833,4.943333
JLP,FR,43.65,7.1
CHR,FR,46.861953,1.728128
LVA,FR,48.066667,-0.766667
SCP,FR,45.416667,0.616667
BVA,FR,49.459488,2.110815
JDP,FR,48.816667,2.283333
NTE,FR,47.157623,-1.601402
LDV,FR,48.5,-4.1
LDE,FR,43.186508,0.003368
BSL,FR,47.599608,7.532604
LAI,FR,48.754167,-3.481944
CCF,FR,43.215476,2.308594
EGC,FR,44.85,0.483333
RYN,FR,45.616667,-1.016667
LTT,FR,43.205651,6.483263
AVF,FR,46.2,6.766667
ENC,FR,48.691667,6.231667
FNI,FR,43.75,4.416667
CMR,FR,48.083333,7.366667
LIG,FR,45.862179,1.176245
QYW,FR,43.538889,7.044444
MCU,FR,46.35,2.6
CFE,FR,45.789051,3.159323
LRT,FR,47.753739,-3.436394
PAR,FR,48.833333,2.331938
CVF,FR,45.396667,6.634722
MZM,FR,49.0725,6.134444
SXB,FR,48.544877,7.627674
JEV,FR,48.616667,2.416667
BES,FR,48.443377,-4.420175
DLE,FR,47.038254,5.428719
BVE,FR,45.166667,1.533333
XCR,FR,48.779595,4.19097
AJA,FR,41.919867,8.794013
PGX,FR,45.183333,0.716667
NVS,FR,47,3.15
AGF,FR,44.173611,0.598611
XGB,FR,48.840562,2.319849
URO,FR,49.388611,1.1875
BOU,FR,47.15,2.416667
EBU,FR,45.541389,4.296944
SNR,FR,47.312047,-2.153864
NCY,FR,45.930556,6.100833
MPL,FR,43.57843,3.959174
MEN,FR,44.504157,3.527748
UIP,FR,47.974444,-4.170833
VAZ,FR,45.45,6.983333
SOZ,FR,41.883333,9.383333
GFR,FR,48.883333,-1.566667
SBK,FR,48.513056,-2.808889
RCO,FR,45.890556,-0.980556
NCE,FR,43.660488,7.205232
LBG,FR,48.964426,2.441525
MFX,FR,45.416667,6.566667
CEQ,FR,43.546389,6.954167
LRH,FR,46.180556,-1.185833
RDZ,FR,44.410594,2.483866
DPE,FR,49.884806,1.080755
FRJ,FR,43.433333,6.733333
TLS,FR,43.630071,1.374321
VTL,FR,48.2,5.95
RHE,FR,49.310833,4.050556
AVN,FR,43.906542,4.902082
DNR,FR,48.587778,-2.083611
PIS,FR,46.586111,0.306389
FSC,FR,41.498633,9.098223
AUF,FR,47.85,3.5
RNE,FR,46.053333,4.000833
TNF,FR,48.750833,2.113056
VAF,FR,44.920278,4.970278
DCM,FR,43.555833,2.284167
DOL,FR,49.362778,0.164167
CER,FR,49.650812,-1.475198
PRP,FR,41.666667,8.9
CET,FR,47.066667,-0.866667
DXA,FR,44.983333,6.15
BAE,FR,44.387189,6.609135
JCA,FR,43.535369,7.038334
ORY,FR,48.728283,2.3597
ODH,GB,51.234232,-0.943024
SQZ,GB,53.307852,-0.550703
SOY,GB,59.155282,-2.641532
FFD,GB,51.682198,-1.790026
EDI,GB,55.948143,-3.364177
